"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"25","Egr1V0416101PkRep2",293,0.926395039272427,0.869601653575858,0.821890863993386,0.51,0.438,0.401,0.31,0.392,0.412,0.53,0.506,0.427,0.023,0.0244,0.0209,0.026,0.0264,0.0228,0.022,0.0246,0.0216
"26","Elf1sc631V0416102PkRep1",497,0.969901463697463,0.897843094767607,0.885197793656522,0.95,0.812,0.797,0.68,0.752,0.795,0.96,0.922,0.833,0.083,0.0726,0.0587,0.089,0.0756,0.061,0.079,0.0738,0.0597
"27","Elf1sc631V0416102PkRep2",597,0.962279351848214,0.875329435033416,0.858695440782376,0.99,0.866,0.882,0.78,0.834,0.883,0.99,0.978,0.907,0.122,0.0808,0.0576,0.127,0.0832,0.0586,0.116,0.0808,0.0574
"28","Ets1V0416101PkRep1",536,0.977361308625008,0.900914738733205,0.882960904412871,0.98,0.874,0.881,0.75,0.854,0.869,0.98,0.948,0.882,0.415,0.1414,NA,0.429,0.144,NA,0.409,0.1396,NA
"29","Ets1V0416101PkRep2",443,0.969756647217096,0.91275527237825,0.889150373994009,0.88,0.758,0.735,0.65,0.702,0.731,0.89,0.852,0.757,0.155,0.0866,0.0587,0.164,0.0902,0.061,0.155,0.0882,0.0593
"30","Fosl1sc183V0416101PkRep1",738,0.927049137905539,0.647174824395295,0.883101997682345,0.31,0.248,0.218,0.11,0.088,0.076,0.31,0.254,0.218,0.101,0.0702,NA,0.07,0.055,NA,0.099,0.0686,NA
"31","Fosl1sc183V0416101PkRep2",395,0.961577951069218,0.750786528986588,0.926641763781453,0.29,0.19,0.165,0.07,0.074,0.067,0.29,0.188,0.163,0.094,0.0608,NA,0.088,0.055,NA,0.093,0.0538,NA
"32","GabpV0416101PkRep1",880,0.967964065253431,0.797666007190379,0.919581887656555,0.6,0.596,0.511,0.13,0.12,0.13,0.6,0.596,0.508,0.06,0.0808,0.0802,0.053,0.073,0.074,0.066,0.0794,0.0755
"33","GabpV0416101PkRep2",455,0.957630216838376,0.899522480528092,0.861544490959295,0.91,0.762,0.737,0.59,0.692,0.735,0.9,0.85,0.758,0.102,0.072,0.0558,0.107,0.0764,0.0586,0.102,0.073,0.0567
"34","Gata2sc267Pcr1xPkRep1",149,0.932379643407637,0.679748059930651,0.856264463919487,0.37,0.272,0.171,0.28,0.172,0.087,0.37,0.248,0.158,0.013,0.0068,0.0055,0.011,0.005,0.0047,0.013,0.007,0.0053
